Time	SegmentThrp	EstimateThrp	Bitrate	Buffer	Data	RTT	DataTm	DelayTm
167.1	1976.935750	1777.777778	1200	16.8	28808	0.037	1.177	0.800	
168.9	2676.864245	1976.935750	1400	17.0	29150	0.035	1.011	0.800	
171.3	2368.615840	2676.864245	1600	16.6	29541	0.035	1.316	1.000	
173.4	2325.581395	2368.615840	1800	16.5	29980	0.036	1.512	0.600	
175.5	2220.851326	2325.581395	1800	16.4	30419	0.036	1.585	0.400	
177.7	1743.869210	2220.851326	1600	16.2	30810	0.040	1.795	0.400	
179.0	2148.612355	1743.869210	1200	16.9	31103	0.038	1.079	0.200	
181.1	2417.962003	2148.612355	1400	16.8	31445	0.037	1.121	0.900	
183.1	2578.565673	2417.962003	1600	16.7	31835	0.035	1.206	0.800	
185.1	2779.922780	2578.565673	1800	16.7	32275	0.035	1.260	0.700	
187.5	2484.472050	2779.922780	2000	16.4	32763	0.036	1.574	0.700	
189.4	2356.020942	2484.472050	1800	16.5	33203	0.037	1.491	0.400	
191.4	2443.991853	2356.020942	1800	16.5	33642	0.035	1.438	0.500	
193.2	2641.232575	2443.991853	1800	16.7	34082	0.036	1.327	0.500	
195.2	2881.844380	2641.232575	2000	16.7	34570	0.035	1.353	0.600	
197.9	2213.279678	2881.844380	2200	16.0	35107	0.037	1.951	0.700	
199.3	2442.748092	2213.279678	1600	16.6	35498	0.035	1.275	0.000	
201.5	2192.448234	2442.748092	1800	16.4	35937	0.036	1.606	0.600	
203.9	1586.514626	2192.448234	1600	16.0	36328	0.040	1.977	0.400	
205.9	1201.201201	1586.514626	1200	16.0	36621	0.042	1.956	0.000	
207.1	1366.353544	1201.201201	800	16.8	36816	0.042	1.129	0.000	
209.0	1923.076923	1366.353544	1000	16.9	37060	0.036	1.004	0.800	
211.1	1901.743265	1923.076923	1200	16.8	37353	0.038	1.224	0.900	
213.4	1891.891892	1901.743265	1400	16.5	37695	0.035	1.445	0.800	
215.4	1902.173913	1891.891892	1400	16.5	38037	0.038	1.434	0.500	
217.5	1729.462631	1902.173913	1400	16.4	38378	0.039	1.580	0.500	
219.5	1560.468140	1729.462631	1200	16.4	38671	0.040	1.498	0.400	
221.3	1643.835616	1560.468140	1200	16.6	38964	0.038	1.422	0.400	
223.3	1726.618705	1643.835616	1200	16.6	39257	0.038	1.352	0.600	
225.3	1717.967072	1726.618705	1200	16.6	39550	0.039	1.358	0.600	
227.4	1679.496151	1717.967072	1200	16.5	39843	0.039	1.390	0.600	
229.5	1489.757914	1679.496151	1200	16.4	40136	0.041	1.570	0.500	
231.3	1425.516750	1489.757914	1000	16.6	40380	0.039	1.364	0.400	
233.5	1218.769043	1425.516750	1000	16.4	40625	0.040	1.601	0.600	
236.3	665.834374	1218.769043	800	15.5	40820	0.046	2.357	0.400	
238.0	499.687695	665.834374	400	15.9	40917	0.064	1.537	0.000	
238.7	539.811066	499.687695	200	17.2	40966	0.054	0.687	0.000	
241.9	400.200100	539.811066	400	16.0	41064	0.068	1.931	1.200	
242.8	466.200466	400.200100	200	17.1	41113	0.059	0.799	0.000	
244.8	421.052632	466.200466	200	17.1	41162	0.062	0.888	1.100	
247.3	293.255132	421.052632	200	16.6	41210	0.075	1.289	1.100	
249.3	285.103350	293.255132	200	16.6	41259	0.075	1.328	0.600	
251.1	343.053173	285.103350	200	16.8	41308	0.079	1.087	0.600	
252.4	715.563506	343.053173	200	17.4	41357	0.049	0.510	0.800	
255.2	587.371512	715.563506	400	16.7	41455	0.054	1.308	1.400	
257.9	410.888546	587.371512	400	16.0	41552	0.079	1.868	0.700	
258.4	811.359026	410.888546	200	17.5	41601	0.047	0.446	0.000	
260.6	1051.248357	811.359026	400	17.3	41699	0.043	0.718	1.500	
263.5	770.712909	1051.248357	600	16.4	41845	0.047	1.510	1.300	
265.8	631.578947	770.712909	600	16.1	41992	0.050	1.850	0.400	
267.0	709.849157	631.578947	400	16.9	42089	0.050	1.077	0.100	
268.9	788.177340	709.849157	400	17.0	42187	0.047	0.968	0.800	
